"Occupation Title","Occupation Code","Employment 2022","Employment 2032","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupational Openings, 2022-2032 Annual Average","Median Annual Wage 2022","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode",Industry,At Risk
"Lighting technicians    * Dimmer Board Operator* Gaffer* Lamp Operator* Spotlight Operator","=""27-4015""","10.5","10.2","-0.4","-3.4","0.9","61,650","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5",-,-1
"News analysts, reporters, and journalists    * Book Critic* Book Reviewer* Columnist* Correspondent* Desk Reporter* Film Critic* Foreign Correspondent* Investigative Reporter* Journalist* Market News Reporter* Movie Critic* News Anchor* News Commentator* News Reporter* Newscaster* Newspaper Columnist* Newspaper Correspondent* Political Reporter* Press Writer* Society Reporter","=""27-3023""","58.5","56.6","-1.9","-3.3","6.0","55,960","Bachelor's degree","3","None","4","None","6",-,-1
"Nuclear power reactor operators    * Nuclear Control Room Operator* Nuclear Reactor Operator* Nuclear Station Operator* Reactor Operator","=""51-8011""","5.5","5.3","-0.2","-3.3","0.4","115,870","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"Insurance claims and policy processing clerks    * Insurance Claims Clerk* Insurance Clerk* Insurance Examining Clerk* Insurance Policy Issue Clerk* Underwriting Assistant* Underwriting Clerk","=""43-9041""","259.0","250.8","-8.2","-3.2","22.1","46,080","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",1,1
"Chemical plant and system operators    * Chemical Plant Operator* Chemical Treatment Plant Technician* Nitric Acid Plant Operator* Nitrogen Operator* Pharmaceutical Manufacturing Machine Operator","=""51-8091""","19.3","18.6","-0.6","-3.2","1.7","82,670","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Continuous mining machine operators    * Bore Miner Operator* Continuous Mining Machine Coal Miner* Continuous Mining Machine Lode Miner* Continuous Mining Machine Miner* Self-Propelled Mining Machine Operator","=""47-5041""","13.9","13.5","-0.4","-3.2","1.4","57,360","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"Waiters and waitresses    * Cocktail Server* Cocktail Waitress* Dining Car Server* Restaurant Server* Wine Steward","=""35-3031""","2,194.1","2,125.5","-68.6","-3.1","440.0","29,120","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Claims adjusters, examiners, and investigators    * Claims Analyst* Fire Claims Adjuster* Health Claims Examiner* Health Insurance Adjuster* Independent Insurance Adjuster* Medical Claims Analyst* Medical Claims Examiner* Property Damage Claims Adjustor* Property and Casualty Insurance Claims Examiner* Reinsurance Claims Analyst* Workers Compensation Claims Adjuster* Workers Compensation Claims Examiner","=""13-1031""","329.0","318.7","-10.3","-3.1","20.6","72,230","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"Education and childcare administrators, preschool and daycare    * Childcare Center Administrator* Childcare Center Director* Early Head Start Director* Head Start Director* Prekindergarten Program Coordinator* Preschool Director","=""11-9031""","74.8","72.6","-2.2","-3.0","4.6","49,690","Bachelor's degree","3","Less than 5 years","2","None","6",-,-1
"Jewelers and precious stone and metal workers    * Diamond Grader* Diamond Polisher* Diamond Setter* Facetor* Gem Cutter* Gemologist* Goldsmith* Jewelry Repairer* Jewelsmith* Lapidarist* Pewterer* Silversmith","=""51-9071""","47.2","45.8","-1.4","-2.9","6.1","47,140","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"Cost estimators    * Construction Estimator* Construction Job Cost Estimator* Crating and Moving Estimator* Electrical Estimator* Job Estimator* Production Cost Estimator","=""13-1051""","231.4","224.9","-6.5","-2.8","18.0","71,200","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4",-,-1
"Weighers, measurers, checkers, and samplers, recordkeeping    * Bean Weigher* Cheese Weigher* Freight Checker* Sample Checker* Scale Attendant* Scale Clerk* Scale Operator* Warehouse Checker* Weighing Station Operator* Wool Sampler","=""43-5111""","55.6","54.0","-1.6","-2.8","6.5","39,950","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Pharmacy aides    * Certified Pharmacist Assistant* Pharmacist Aide* Pharmacist Assistant* Pharmacy Assistant* Pharmacy Clerk* Prescription Clerk","=""31-9095""","43.7","42.4","-1.2","-2.8","7.5","33,270","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"First-line supervisors of correctional officers    * Chief Jailer* Correctional Officer Sergeant* Correctional Supervisor* Corrections Sergeant* Prison Guard Supervisor","=""33-1011""","58.5","56.9","-1.6","-2.7","4.4","63,310","High school diploma or equivalent","7","Less than 5 years","2","None","6",-,-1
"Electrical and electronics repairers, powerhouse, substation, and relay    * Generating Station Mechanic* Power Transformer Repairer* Powerhouse Electrician* Protective Relay Technician* Relay Technician* Substation Electrician* Substation Mechanic","=""49-2095""","26.1","25.4","-0.7","-2.7","2.1","93,720","Postsecondary nondegree award","5","Less than 5 years","2","Moderate-term on-the-job training","4",-,-1
"Electro-mechanical and mechatronics technologists and technicians    * Electo-Mechanical and Mechatronics Technologist* Mechatronics Technician* Remotely Piloted Vehicle Engineering Technician* Robotics Testing Technician* Unmanned Aerial Vehicle Operator* Unmanned Air Systems Operator","=""17-3024""","15.2","14.8","-0.4","-2.7","1.3","60,570","Associate's degree","4","None","4","None","6","1,2",0
"Hotel, motel, and resort desk clerks    * Assistant Innkeeper* Hotel Desk Clerk* Hotel Front Desk Clerk* Hotel Registration Clerk* Motel Clerk* Motel Front Desk Attendant* Resort Desk Clerk","=""43-4081""","257.7","251.1","-6.6","-2.6","39.8","28,910","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Insurance appraisers, auto damage    * Auto Damage Appraiser* Auto Damage Insurance Appraiser* Automobile Damage Appraiser* Vehicle Damage Appraiser","=""13-1032""","13.6","13.3","-0.4","-2.6","0.9","69,380","Postsecondary nondegree award","5","None","4","Moderate-term on-the-job training","4",-,-1
"Upholsterers    * Aircraft Seat Upholsterer* Auto Upholsterer* Chair Upholsterer* Dining Chair Seat Cushion Trimmer* Furniture Upholsterer* Seating Upholsterer","=""51-6093""","31.5","30.7","-0.8","-2.5","2.8","39,600","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Insurance underwriters    * Automobile and Property Underwriter* Bond Underwriter* Insurance Analyst* Insurance Underwriter* Insurance Writer* Underwriting Account Representative* Underwriting Service Representative","=""13-2053""","125.5","122.4","-3.0","-2.4","8.2","76,230","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4",1,1
"Dishwashers    * Dish Room Worker* Dishwasher* Silverware Cleaner","=""35-9021""","447.1","436.9","-10.2","-2.3","75.1","29,080","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Petroleum pump system operators, refinery operators, and gaugers    * Hydrotreater Operator* Oil Gauger* Oil Pipeline Dispatcher* Oil Pipeline Operator* Oil Refiner* Petroleum Plant Operator* Petroleum Refinery Control Panel Operator* Petroleum Refinery Operator* Petroleum Refining Equipment Operator","=""51-8093""","32.2","31.5","-0.7","-2.3","2.8","85,090","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Bailiffs    * City Bailiff* County Bailiff* Court Bailiff* Court Officer* Court Security Officer* Deputy Bailiff","=""33-3011""","17.1","16.8","-0.4","-2.3","2.3","49,100","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers    * Drawbench Operator* Fiber Machine Tender* Synthetic Filament Extruder","=""51-6091""","16.3","15.9","-0.4","-2.3","1.7","39,860","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Tapers    * Drywall Taper* Sheet Rock Taper* Wall Taper","=""47-2082""","18.1","17.7","-0.4","-2.3","1.1","62,360","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"Farmworkers and laborers, crop, nursery, and greenhouse    * Cane Cutter* Carrot Harvester* Citrus Picker* Corn Picker* Cotton Picker* Crop Picker* Flower Picker* Greenhouse Transplanter* Harvest Worker* Harvester* Orchard Hand* Orchard Worker* Pecan Gatherer* Pepper Picker* Vineyard Tender","=""45-2092""","523.5","512.2","-11.3","-2.2","75.1","33,000","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"First-line supervisors of non-retail sales workers    * Blood Donor Recruiter Supervisor* Insurance Sales Supervisor* Radio Time Sales Supervisor* Real Estate Sales Supervisor* Stock Broker Supervisor* Telemarketer Supervisor* Telemarketing Manager* Telesales Supervisor","=""41-1012""","364.4","356.4","-8.0","-2.2","28.2","82,850","High school diploma or equivalent","7","Less than 5 years","2","None","6",-,-1
"Wellhead pumpers    * Oil Field Pumper* Oil Well Pumper* Oilfield Plant and Field Operator","=""53-7073""","16.2","15.9","-0.4","-2.2","1.6","63,280","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4",-,-1
"Adhesive bonding machine operators and tenders    * Glue Line Operator* Glue Machine Operator* Glue Reel Operator* Paper Gluing Operator","=""51-9191""","11.4","11.2","-0.3","-2.2","1.0","38,780","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Retail salespersons    * Automotive Salesperson* Department Store Salesperson* Menswear Salesperson* New Car Salesperson* Pet Supplies Salesperson* Pets Salesperson* Shoe Salesperson* Used Car Salesperson* Women's Apparel Salesperson","=""41-2031""","3,765.6","3,686.4","-79.1","-2.1","531.7","30,600","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Gas compressor and gas pumping station operators    * Acetylene Gas Compressor* Butane Compressor Operator* Compressor Station Operator* Gas Compressor Operator* Gas Cylinder Processor* Gas Storage Operator* High Pressure Compressed Gas Filler* LNG Plant Operator* Liquid Natural Gas Plant Operator","=""53-7071""","3.9","3.8","-0.1","-2.1","0.4","59,990","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Childcare workers    * Au Pair* Baby Sitter* Before and After School Daycare Worker* Childcare Aide* Childcare Attendant* Day Care Attendant* Day Care Worker* Daycare Aide* Daycare Provider* Governess* Nanny* Nursery Day Care Worker* Playground Aide","=""39-9011""","945.9","927.4","-18.5","-2.0","153.1","28,520","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Farm and home management educators    * 4-H Youth Development Specialist* Agricultural Agent* Agricultural Extension Educator* Extension Service Advisor* Family Resource Management Specialist* Family and Consumer Sciences Extension Agent* Farm Business Management Agent* Farm Management Specialist* Feed Management Advisor* Home Economics Expert","=""25-9021""","9.7","9.5","-0.2","-2.0","0.8","53,450","Master's degree","2","None","4","None","6",-,-1
"Cabinetmakers and bench carpenters    * Cabinet Builder* Cabinetmaker* Marquetry Worker* Wood Furniture Assembler* Wood Working Assembler","=""51-7011""","105.7","103.7","-2.0","-1.9","9.8","38,810","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Extruding and drawing machine setters, operators, and tenders, metal and plastic    * Wire Drawing Machine Tender* Wire Mill Rover","=""51-4021""","64.3","63.1","-1.2","-1.9","6.4","39,970","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Extraction workers, all other    * Mine Milling Worker* Mine Tailings Worker* Muck Hauler, Extraction* Sand Filler, Extraction","=""47-5099""","6.6","6.4","-0.1","-1.8","0.7","51,600","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Hoist and winch operators    * Hoist Operator* Winch Derrick Operator* Winch Operator","=""53-7041""","2.8","2.7","0.0","-1.8","0.3","58,950","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Coin, vending, and amusement machine servicers and repairers    * Arcade Games Mechanic* Coin Box Collector* Juke Box Mechanic* Parking Meter Collector* Slot Machine Mechanic* Slot Technician* Stamp Machine Servicer* Vending Machine Filler","=""49-9091""","39.2","38.5","-0.7","-1.7","4.2","39,690","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Statistical assistants    * Actuarial Assistant* Actuary Clerk* Data Analysis Assistant* Statistical Clerk* Tariff Compiling Clerk","=""43-9111""","7.4","7.2","-0.1","-1.7","0.6","48,880","Bachelor's degree","3","None","4","None","6",-,-1
"Log graders and scalers    * Log Check Scaler* Log Grader* Log Scaler* Log Sorter* Timber Estimator* Veneer Grader","=""45-4023""","5.6","5.5","-0.1","-1.6","0.8","42,370","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Construction and building inspectors    * Architectural Inspector* Bridge Inspector* Building Code Inspector* Building Inspector* Construction Inspector* Electrical Inspector* Elevator Inspector* Highway Inspector* Home Inspector* Plumbing Inspector* Public Works Inspector* Residential Building Inspector","=""47-4011""","142.4","140.2","-2.2","-1.5","15.7","64,480","High school diploma or equivalent","7","5 years or more","1","Moderate-term on-the-job training","4",-,-1
"Parking enforcement workers    * Meter Maid* Parking Enforcement Officer* Parking Meter Attendant","=""33-3041""","9.0","8.9","-0.1","-1.4","0.9","41,570","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Security guards    * Armed Guard* Bank Guard* Bodyguard* Bouncer* Private Watchman* Security Officer","=""33-9032""","1,155.9","1,141.0","-14.9","-1.3","150.3","34,750","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Laundry and dry-cleaning workers    * Drycleaner* Launderer* Laundress* Laundry Attendant* Laundry Equipment Operator* Laundry Operator* Laundry Sorter* Laundry Worker* Precision Dyer","=""51-6011""","184.4","182.0","-2.3","-1.3","24.5","29,060","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders    * Bowling Ball Molder* Brick Maker* Cigarette Stamper* Extrusion Press Operator* Paper Baling Machine Operator* Rubber Extrusion Operator* Sugar Presser* Tuber Operator","=""51-9041""","60.0","59.2","-0.8","-1.3","5.8","39,480","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Nuclear technicians    * Nuclear Monitoring Technician* Radiation Protection Technician* Radiochemical Technician","=""19-4051""","5.9","5.8","-0.1","-1.3","0.6","100,420","Associate's degree","4","None","4","Moderate-term on-the-job training","4",-,-1
"Butchers and meat cutters    * Butcher* Butcher Apprentice* Halal Butcher* Kosher Butcher* Meat Carver* Meat Clerk* Meat Counter Worker","=""51-3021""","131.6","130.1","-1.6","-1.2","15.3","36,930","No formal educational credential","8","None","4","Long-term on-the-job training","3",-,-1
"Sound engineering technicians    * Audio Recording Engineer* Disc Recordist* Dub Room Engineer* Film Sound Engineer* Play Back Operator* Recording Engineer* Sound Assistant* Sound Cutter* Sound Designer* Sound Editor* Sound Effects Technician","=""27-4014""","17.6","17.4","-0.2","-1.2","1.5","60,670","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5",-,-1
"Dispatchers, except police, fire, and ambulance    * Airplane Dispatch Clerk* Auto Service Dispatcher* Bus Dispatcher* Crew Dispatcher* Maintenance Dispatcher* School Bus Dispatcher* Taxicab Dispatcher* Tow Truck Dispatcher* Train Dispatcher* Truck Dispatcher","=""43-5032""","214.8","212.5","-2.3","-1.1","19.7","44,830","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Broadcast technicians    * Broadcast Engineer* Broadcast Maintenance Engineer* Broadcast Operations Engineer* Radio Station Audio Engineer* Radio/Television Technician* Remote Broadcast Engineer* Telecasting Engineer* Television Audio Engineer","=""27-4012""","39.9","39.4","-0.4","-1.1","3.4","60,700","Associate's degree","4","None","4","Short-term on-the-job training","5",-,-1
"Packers and packagers, hand    * Bagger* Carton Wrapper* Egg Packer* Gift Wrapper* Grocery Store Bagger* Meat Packager* Meat Wrapper* Utility Bagger","=""53-7064""","659.6","652.9","-6.6","-1.0","93.0","32,920","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Loan interviewers and clerks    * Loan Interviewer* Loan Processor* Mortgage Closing Clerk* Mortgage Loan Closer* Mortgage Loan Processing Clerk* Mortgage Loan Processor* Mortgage Processor","=""43-4131""","247.1","244.6","-2.5","-1.0","20.0","46,490","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Slaughterers and meat packers    * Beef Splitter* Cattle Killer* Halal Meat Packer* Hog Slaughterer* Meat Packer* Meat Processor* Poultry Slaughterer* Shochet* Slaughterer","=""51-3023""","81.1","80.3","-0.8","-1.0","9.4","35,240","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Woodworking machine setters, operators, and tenders, except sawing    * Computer Numerically Controlled (CNC) Wood Lathe Operator* Roof Truss Builder* Speed Belt Sander* Tenon Operator* Wood Boring Machine Operator* Wood Dowel Machine Operator* Wood Lathe Operator* Wood Planer","=""51-7042""","64.6","63.9","-0.6","-1.0","5.9","36,830","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Labor relations specialists    * Employee Relations Specialist* Industrial Relations Analyst* Industrial Relations Specialist* Labor Relations Consultant* Labor Relations Representative* Union Representative","=""13-1075""","64.6","64.0","-0.5","-0.8","5.2","82,010","Bachelor's degree","3","Less than 5 years","2","None","6",-,-1
"Bridge and lock tenders    * Bridge Operator* Bridge Tender* Dam Tender* Lighthouse Keeper* Lock and Dam Operator","=""53-6011""","3.8","3.8","0.0","-0.8","0.4","47,280","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Electrical and electronics repairers, commercial and industrial equipment    * Industrial Aerial Installer* Industrial Robotics Mechanic* Missile Pad Mechanic* Public Address System Mechanic","=""49-2094""","53.6","53.2","-0.4","-0.7","4.4","64,030","Postsecondary nondegree award","5","None","4","Long-term on-the-job training","3",1,0
"Fence erectors    * Chain Link Fence Installer* Fence Builder* Wire Fence Builder* Wood Fence Installer","=""47-4031""","35.2","34.9","-0.3","-0.7","2.9","39,840","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"Furniture finishers    * Cabinet Finisher* Furniture Refinisher* Furniture Sander* Piano Refinisher* Wood Cabinet Finisher","=""51-7021""","19.2","19.1","-0.1","-0.7","2.2","37,960","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Control and valve installers and repairers, except mechanical door    * Air Valve Mechanic* Electric Meter Installer* Gas Meter Installer* Gas Meter Mechanic* Thermostat Repairer* Valve Mechanic* Water Meter Installer","=""49-9012""","47.9","47.6","-0.3","-0.6","3.4","64,810","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Career/technical education teachers, postsecondary    * Architectural Drafting Instructor* Automotive Technology Instructor* Aviation Maintenance Instructor* Barbering Instructor* Building Trades Instructor* Carpentry Instructor* Computer-Aided Drafting and Design Instructor* Cosmetology Instructor* Electrical Technology Instructor* Electronics Technology Instructor* HVAC Instructor* Industrial Electrical Technology Instructor* Industrial Maintenance Instructor* Machine Tool Technician Instructor* Masonry Instructor* Mechanical Maintenance Instructor* Paralegal Instructor* Residential Construction Instructor* Skin Care Instructor* Upholstery Instructor* Vocational Horticulture Instructor* Welding Instructor","=""25-1194""","113.0","112.5","-0.6","-0.5","8.7","59,840","Bachelor's degree","3","Less than 5 years","2","None","6",-,-1
"Fishing and hunting workers    * Alligator Hunter* Bird Trapper* Commercial Crabber* Commercial Fisher* Crab Fisher* Crabber* Deer Hunter* Fishing Boat Captain* Fur Trapper* Lobster Catcher* Oyster Boat Laborer* Predator Control Trapper* Predatory Animal Exterminator* Predatory Animal Hunter* Predatory Animal Trapper* Seaweed Harvester* Shellfish Dredge Operator* Wild Oyster Harvester","=""45-3031""","27.3","27.2","-0.1","-0.4","3.5","0","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"Fiberglass laminators and fabricators    * Fiberglass Boat Builder* Fiberglass Fabricator* Fiberglass Grinder* Fiberglass Laminator* Fiberglass Luggage Molder* Fiberglass Machine Operator* Fiberglass Roller* Fiberglass Ski Maker* Fiberglasser","=""51-2051""","22.6","22.5","-0.1","-0.3","2.4","38,110","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Directors, religious activities and education    * Campus Ministry Director* Christian Education Minister* Education Minister* Parish Religious Education Director* Religious Activities Director* Religious Education Coordinator* Religious Education Director* Student Ministries Director* Youth Ministry Director","=""21-2021""","171.0","170.6","-0.4","-0.2","16.3","49,380","Bachelor's degree","3","Less than 5 years","2","None","6",-,-1
"Career/technical education teachers, secondary school    * High School Auto Repair Teacher* High School Cosmetology Teacher","=""25-2032""","88.0","87.7","-0.2","-0.2","5.4","62,500","Bachelor's degree","3","Less than 5 years","2","None","6",-,-1
"Special education teachers, middle school    * Junior High School Special Education Teacher* Middle School Special Education Teacher","=""25-2057""","82.8","82.6","-0.1","-0.2","5.5","62,990","Bachelor's degree","3","None","4","None","6",-,-1
"Etchers and engravers    * Engraver* Glass Etcher* Laser Engraver* Machine Engraver* Metal Engraver* Pantograph Engraver* Rotary Engraver* Rubber Engraver","=""51-9194""","8.5","8.4","0.0","-0.2","1.3","37,980","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Plant and system operators, all other    * Asphalt Plant Operator* Concrete Batch Plant Operator* Lime Filter Operator* Sand Plant Attendant","=""51-8099""","15.9","15.9","0.0","-0.2","1.4","57,470","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Sheet metal workers    * Air Conditioning Sheet Metal Installer* Heating, Ventilation, and Air Conditioning (HVAC) Sheet Metal Installer* Sheet Metal Duct Installer* Sheet Metal Fabricator* Sheet Metal Former* Sheet Metal Installer* Sheet Metal Layout Mechanic* Sheet Metal Layout Worker* Tinsmith","=""47-2211""","126.2","126.0","-0.2","-0.1","11.4","55,350","High school diploma or equivalent","7","None","4","Apprenticeship","2",-,-1
"Special education teachers, kindergarten and elementary school","=""25-2052""","194.7","194.6","-0.1","0.0","12.9","62,390","Bachelor's degree","3","None","4","None","6",-,-1
"Career/technical education teachers, middle school    * Junior High School Business Teacher* Middle School Technology Education Teacher","=""25-2023""","11.1","11.1","0.0","0.0","0.7","62,630","Bachelor's degree","3","Less than 5 years","2","None","6",-,-1
"Precision instrument and equipment repairers, all other    * Gyroscope Repairer* Scale Adjuster* Telescope Repairer","=""49-9069""","12.1","12.1","0.0","0.0","1.1","61,690","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3",-,-1
"Transportation security screeners    * Airport Baggage Screener* Airport Security Screener* Flight Security Specialist* Transportation Security Administration (TSA) Screener* Transportation Security Officer","=""33-9093""","51.3","51.3","0.0","0.0","4.7","47,710","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5",-,-1
"Billing and posting clerks    * Billing Clerk* Invoice Clerk* Invoice Control Clerk* Posting Clerk* Statement Clerk* Statement Distribution Clerk* Statement Processor","=""43-3021""","456.3","456.4","0.1","0.0","46.7","42,810","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Floor sanders and finishers    * Floor Finisher* Floor Refinisher* Floor Sander* Floor Sanding Machine Operator* Floor Scraper* Hardwood Finisher","=""47-2043""","6.2","6.2","0.0","0.1","0.5","46,060","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"Painting, coating, and decorating workers    * Ceramic Painter* China Decorator* Glass Decorator* Lacquerer* Sign Painter","=""51-9123""","13.5","13.5","0.0","0.1","1.2","38,270","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"Rotary drill operators, oil and gas    * Drilling Rig Operator* Fracturing Rotary Drill Operator* Natural Gas Shothole Driller* Oil Driller* Oil Rig Driller* Oil Well Cable Tool Driller* Oil Well Cable Tool Operator* Oil Well Driller* Prospecting Driller","=""47-5012""","13.2","13.2","0.0","0.1","1.3","55,260","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"Sawing machine setters, operators, and tenders, wood    * Backup Sawyer* Band Scroll Saw Operator* Bandmill Operator* Buzzsaw Operator* Chop Saw Operator* Circle Saw Operator* Curve Saw Operator* Cut Off Saw Operator* Hardwood Sawyer* Headrig Sawyer* Panel Saw Operator* Rip Saw Operator* Stave Saw Operator* Trim Saw Operator","=""51-7041""","49.4","49.5","0.1","0.1","5.5","36,270","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Service unit operators, oil and gas    * Oil Well Fishing-Tool Technician* Well Service Pump Equipment Operator* Well Service Rig Operator* Well Services Operator* Well Servicing Rig Operator","=""47-5013""","39.5","39.5","0.1","0.1","4.0","50,140","No formal educational credential","8","None","4","Moderate-term on-the-job training","4",-,-1
"Teaching assistants, except postsecondary","=""25-9045""","1,298.9","1,299.8","0.9","0.1","151.0","30,920","Some college, no degree","6","None","4","None","6",-,-1
"Maids and housekeeping cleaners    * Chambermaid* Cleaning Maid* Cottage Attendant* Domestic Maid* House Cleaner* Housekeeping Aide* Housekeeping Staff* Motel Maid* Ward Maid","=""37-2012""","1,238.8","1,240.4","1.6","0.1","175.7","29,960","No formal educational credential","8","None","4","Short-term on-the-job training","5",-,-1
"Ambulance drivers and attendants, except emergency medical technicians    * Ambulance Attendant* Emergency Medical Services (EMS) Driver* Emergency Medical Services Driver","=""53-3011""","10.1","10.1","0.0","0.2","1.4","30,380","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Crane and tower operators    * Boom Crane Operator* Bridge Crane Operator* Cherry Picker Operator* Coal Tower Operator* Electric Crane Operator* Erecting Crane Operator* Monorail Crane Operator* Overhead Crane Operator* Port Crane Operator* Radio Control Crane Operator* Scrap Crane Operator* Tower Loader Operator* Woodyard Crane Operator","=""53-7021""","48.4","48.5","0.1","0.2","4.5","61,340","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4",-,-1
"Legal support workers, all other    * Legal Technician","=""23-2099""","51.4","51.5","0.1","0.2","5.4","62,340","Associate's degree","4","None","4","None","6",-,-1
"Automotive and watercraft service attendants    * Auto Service Station Attendant* Gas Pump Attendant* Gas Station Attendant* Gas and Oil Servicer* Oil Changer* Pump Jockey* Service Station Attendant","=""53-6031""","100.7","100.9","0.2","0.2","14.6","30,850","No formal educational credential","8","None","4","Short-term on-the-job training","5",1,1
"Dredge operators    * Dredge Deckhand* Dredge Engineer* Dredge Mate* Dredger","=""53-7031""","1.0","1.1","0.0","0.3","0.1","47,090","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
"Mining and geological engineers, including mining safety engineers    * Geophysical Engineer* Mineral Engineer* Mining Engineer* Seismic Engineer","=""17-2151""","7.5","7.6","0.0","0.3","0.4","97,490","Bachelor's degree","3","None","4","None","6",-,-1
"First-line supervisors of production and operating workers    * Assembly Line Supervisor* Assembly Supervisor* Die Cast Supervisor* Machine Assembler Supervisor* Machinist Supervisor* Molding Supervisor* Paper Machine Supervisor* Printing Supervisor* Printing Worker Supervisor* Tool Room Supervisor","=""51-1011""","681.7","683.7","1.9","0.3","63.3","63,510","High school diploma or equivalent","7","Less than 5 years","2","None","6",-,-1
"Hydrologic technicians    * Groundwater Monitoring Technician","=""19-4044""","3.1","3.1","0.0","0.4","0.3","58,360","Associate's degree","4","None","4","Moderate-term on-the-job training","4",-,-1
"Furnace, kiln, oven, drier, and kettle operators and tenders    * Calciner Operator* Dry Kiln Operator* Induction Furnace Operator* Lime Kiln Operator* Lumber Kiln Operator* Rubber Curer* Soap Drier Tender* Tunnel Kiln Operator","=""51-9051""","16.2","16.2","0.1","0.4","1.8","44,530","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4",-,-1
